Risk,Outcome,Category_Units,Morbidity_Mortality,Sex,All-age,0-6 days,7-27 days,28-364 days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95+ years
Unsafe water source,Diarrhoeal diseases,"Unimproved, untreated",Both,Both,11.084,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Unimproved, chlorinated",Both,Both,8.024,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Unimproved, filter",Both,Both,5.331,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Improved, untreated",Both,Both,8.986,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Improved, chlorinated",Both,Both,6.505,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Improved, filtered",Both,Both,4.322,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Piped, untreated",Both,Both,6.88,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Piped, chlorinated",Both,Both,4.98,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Piped, filtered",Both,Both,3.309,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"High quality (HQ) piped, untreated",Both,Both,2.079,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"HQ piped, chlorinated",Both,Both,1.505,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"HQ piped, filtered",Both,Both,1.0,,,,,,,,,,,,,,,,,,,,,,,
Unsafe sanitation,Diarrhoeal diseases,Unimproved & untreated,Both,Both,3.203,,,,,,,,,,,,,,,,,,,,,,,
Unsafe sanitation,Diarrhoeal diseases,Improved,Both,Both,2.465,,,,,,,,,,,,,,,,,,,,,,,
Unsafe sanitation,Diarrhoeal diseases,Sewer,Both,Both,1.0,,,,,,,,,,,,,,,,,,,,,,,
No access to handwashing facility,Lower respiratory infections,No handwashing w/soap & water,Both,Both,1.321,,,,,,,,,,,,,,,,,,,,,,,
No access to handwashing facility,Lower respiratory infections,Handwashing w/soap & water,Both,Both,1.0,,,,,,,,,,,,,,,,,,,,,,,
No access to handwashing facility,Diarrhoeal diseases,No handwashing w/soap & water,Both,Both,1.522,,,,,,,,,,,,,,,,,,,,,,,
No access to handwashing facility,Diarrhoeal diseases,Handwashing w/soap & water,Both,Both,1.0,,,,,,,,,,,,,,,,,,,,,,,
Ambient ozone pollution,Chronic obstructive pulmonary disease,10 ppb,Mortality,Both,1.063,,,,,,,,,,,,,,,,,,,,,,,
Residential radon,"Tracheal, bronchus, and lung cancer",100 Bq/m3,Both,Both,1.097,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,2 µg/dL,Morbidity,Both,0.0,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,4 µg/dL,Morbidity,Both,3.146,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,6 µg/dL,Morbidity,Both,3.804,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,8 µg/dL,Morbidity,Both,4.296,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,10 µg/dL,Morbidity,Both,4.688,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,12 µg/dL,Morbidity,Both,5.014,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,15 µg/dL,Morbidity,Both,5.42,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,20 µg/dL,Morbidity,Both,5.952,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,25 µg/dL,Morbidity,Both,6.37,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,30 µg/dL,Morbidity,Both,6.713,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,35 µg/dL,Morbidity,Both,7.006,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,40 µg/dL,Morbidity,Both,7.26,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in bone,Rheumatic heart disease,10 µg/g,Both,Both,,,,,,,,,,1.03,1.024,1.017,1.013,1.012,1.011,1.01,1.009,1.008,1.007,1.007,1.006,1.006,1.006,1.006
Lead exposure in bone,Ischaemic heart disease,10 µg/g,Both,Both,,,,,,,,,,1.042,1.037,1.032,1.028,1.026,1.024,1.023,1.021,1.019,1.018,1.016,1.014,1.014,1.014,1.014
Lead exposure in bone,Ischaemic stroke,10 µg/g,Both,Both,,,,,,,,,,1.038,1.036,1.033,1.03,1.028,1.026,1.024,1.021,1.019,1.017,1.015,1.011,1.011,1.011,1.011
Lead exposure in bone,Intracerebral hemorrhage,10 µg/g,Both,Both,,,,,,,,,,1.047,1.045,1.042,1.039,1.036,1.032,1.028,1.024,1.02,1.017,1.017,1.015,1.015,1.015,1.015
Lead exposure in bone,Subarachnoid hemorrhage,10 µg/g,Both,Both,,,,,,,,,,1.047,1.045,1.042,1.039,1.036,1.032,1.028,1.024,1.02,1.017,1.017,1.015,1.015,1.015,1.015
Lead exposure in bone,Hypertensive heart disease,10 µg/g,Both,Both,,,,,,,,,,1.066,1.066,1.065,1.063,1.058,1.052,1.046,1.04,1.033,1.03,1.031,1.033,1.033,1.033,1.033
Lead exposure in bone,Non-rheumatic calcific aortic valve disease,10 µg/g,Both,Both,,,,,,,,,,1.035,1.029,1.023,1.019,1.018,1.016,1.015,1.014,1.012,1.011,1.01,1.007,1.007,1.007,1.007
Lead exposure in bone,Other cardiomyopathy,10 µg/g,Both,Both,,,,,,,,,,1.035,1.029,1.023,1.019,1.018,1.016,1.015,1.014,1.012,1.011,1.01,1.007,1.007,1.007,1.007
Lead exposure in bone,Atrial fibrillation and flutter,10 µg/g,Both,Both,,,,,,,,,,1.035,1.03,1.025,1.022,1.02,1.019,1.018,1.016,1.015,1.013,1.012,1.008,1.008,1.008,1.008
Lead exposure in bone,Aortic aneurysm,10 µg/g,Both,Both,,,,,,,,,,1.027,1.024,1.02,1.018,1.017,1.016,1.015,1.014,1.012,1.011,1.01,1.007,1.007,1.007,1.007
Lead exposure in bone,Peripheral vascular disease,10 µg/g,Both,Both,,,,,,,,,,1.034,1.025,1.014,1.008,1.008,1.008,1.009,1.009,1.009,1.009,1.008,1.006,1.006,1.006,1.006
Lead exposure in bone,Endocarditis,10 µg/g,Both,Both,,,,,,,,,,1.035,1.029,1.023,1.019,1.018,1.016,1.015,1.014,1.012,1.011,1.01,1.007,1.007,1.007,1.007
Lead exposure in bone,Chronic kidney disease due to diabetes mellitus type 1,10 µg/g,Both,Both,,,,,,,,,,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015
Lead exposure in bone,Chronic kidney disease due to diabetes mellitus type 2,10 µg/g,Both,Both,,,,,,,,,,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015
Lead exposure in bone,Chronic kidney disease due to hypertension,10 µg/g,Both,Both,,,,,,,,,,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015
Lead exposure in bone,Chronic kidney disease due to glomerulonephritis,10 µg/g,Both,Both,,,,,,,,,,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015
Lead exposure in bone,Chronic kidney disease due to other and unspecified causes,10 µg/g,Both,Both,,,,,,,,,,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015
Occupational exposure to asbestos,Larynx cancer,High exposure,Both,Males,,,,,,,,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Occupational exposure to asbestos,Larynx cancer,High exposure,Both,Females,,,,,,,,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385,1.385
Occupational exposure to asbestos,Larynx cancer,Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to asbestos,Larynx cancer,Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to asbestos,"Tracheal, bronchus, and lung cancer",High exposure,Both,Males,,,,,,,,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279,2.279
Occupational exposure to asbestos,"Tracheal, bronchus, and lung cancer",High exposure,Both,Females,,,,,,,,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875
Occupational exposure to asbestos,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to asbestos,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to asbestos,Ovarian cancer,High exposure,Both,Both,,,,,,,,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811,1.811
Occupational exposure to asbestos,Ovarian cancer,Low exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to arsenic,"Tracheal, bronchus, and lung cancer",High exposure,Both,Both,,,,,,,,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061
Occupational exposure to arsenic,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Both,,,,,,,,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749,1.749
Occupational exposure to arsenic,"Tracheal, bronchus, and lung cancer",No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to benzene,Acute lymphoid leukaemia,High exposure,Both,Both,,,,,,,,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623
Occupational exposure to benzene,Acute lymphoid leukaemia,Low exposure,Both,Both,,,,,,,,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626
Occupational exposure to benzene,Acute lymphoid leukaemia,No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to benzene,Chronic lymphoid leukaemia,High exposure,Both,Both,,,,,,,,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623
Occupational exposure to benzene,Chronic lymphoid leukaemia,Low exposure,Both,Both,,,,,,,,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626
Occupational exposure to benzene,Chronic lymphoid leukaemia,No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to benzene,Acute myeloid leukaemia,High exposure,Both,Both,,,,,,,,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623
Occupational exposure to benzene,Acute myeloid leukaemia,Low exposure,Both,Both,,,,,,,,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626
Occupational exposure to benzene,Acute myeloid leukaemia,No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to benzene,Chronic myeloid leukaemia,High exposure,Both,Both,,,,,,,,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623
Occupational exposure to benzene,Chronic myeloid leukaemia,Low exposure,Both,Both,,,,,,,,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626
Occupational exposure to benzene,Chronic myeloid leukaemia,No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to benzene,Other leukaemia,High exposure,Both,Both,,,,,,,,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623,2.623
Occupational exposure to benzene,Other leukaemia,Low exposure,Both,Both,,,,,,,,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626
Occupational exposure to benzene,Other leukaemia,No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to beryllium,"Tracheal, bronchus, and lung cancer",High exposure,Both,Males,,,,,,,,1.174,1.169,1.17,1.169,1.172,1.168,1.171,1.171,1.17,1.171,1.172,1.171,1.174,1.171,1.171,1.171,1.171
Occupational exposure to beryllium,"Tracheal, bronchus, and lung cancer",High exposure,Both,Females,,,,,,,,1.17,1.17,1.169,1.17,1.172,1.171,1.173,1.172,1.173,1.169,1.173,1.167,1.169,1.171,1.171,1.171,1.171
Occupational exposure to beryllium,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to beryllium,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to beryllium,"Tracheal, bronchus, and lung cancer",No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to beryllium,"Tracheal, bronchus, and lung cancer",No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to cadmium,"Tracheal, bronchus, and lung cancer",High exposure,Both,Males,,,,,,,,1.192,1.188,1.19,1.191,1.19,1.19,1.192,1.193,1.19,1.192,1.193,1.187,1.191,1.19,1.19,1.19,1.19
Occupational exposure to cadmium,"Tracheal, bronchus, and lung cancer",High exposure,Both,Females,,,,,,,,1.191,1.191,1.188,1.19,1.191,1.194,1.188,1.19,1.19,1.189,1.192,1.192,1.193,1.193,1.193,1.193,1.193
Occupational exposure to cadmium,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to cadmium,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to cadmium,"Tracheal, bronchus, and lung cancer",No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to cadmium,"Tracheal, bronchus, and lung cancer",No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to chromium,"Tracheal, bronchus, and lung cancer",High exposure,Both,Males,,,,,,,,1.179,1.181,1.181,1.18,1.183,1.18,1.18,1.182,1.181,1.179,1.182,1.18,1.18,1.181,1.181,1.181,1.181
Occupational exposure to chromium,"Tracheal, bronchus, and lung cancer",High exposure,Both,Females,,,,,,,,1.179,1.18,1.18,1.179,1.18,1.181,1.181,1.181,1.181,1.181,1.179,1.181,1.181,1.179,1.179,1.179,1.179
Occupational exposure to chromium,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to chromium,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to chromium,"Tracheal, bronchus, and lung cancer",No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to chromium,"Tracheal, bronchus, and lung cancer",No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to diesel engine exhaust,"Tracheal, bronchus, and lung cancer",High exposure,Both,Males,,,,,,,,1.469,1.477,1.473,1.474,1.472,1.47,1.475,1.469,1.474,1.477,1.477,1.476,1.473,1.477,1.477,1.477,1.477
Occupational exposure to diesel engine exhaust,"Tracheal, bronchus, and lung cancer",High exposure,Both,Females,,,,,,,,1.473,1.476,1.469,1.467,1.473,1.475,1.477,1.475,1.476,1.481,1.478,1.473,1.473,1.476,1.476,1.476,1.476
Occupational exposure to diesel engine exhaust,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to diesel engine exhaust,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to diesel engine exhaust,"Tracheal, bronchus, and lung cancer",No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to diesel engine exhaust,"Tracheal, bronchus, and lung cancer",No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Nasopharynx cancer,High exposure,Both,Males,,,,,,,,2.222,2.294,2.204,2.211,2.23,2.241,2.265,2.198,2.232,2.215,2.251,2.233,2.234,2.204,2.204,2.204,2.204
Occupational exposure to formaldehyde,Nasopharynx cancer,High exposure,Both,Females,,,,,,,,2.202,2.246,2.227,2.269,2.264,2.217,2.201,2.221,2.225,2.276,2.261,2.258,2.241,2.229,2.229,2.229,2.229
Occupational exposure to formaldehyde,Nasopharynx cancer,Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Nasopharynx cancer,Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Nasopharynx cancer,No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Nasopharynx cancer,No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Acute lymphoid leukaemia,High exposure,Both,Males,,,,,,,,1.483,1.479,1.474,1.48,1.479,1.467,1.481,1.49,1.47,1.487,1.485,1.48,1.482,1.488,1.488,1.488,1.488
Occupational exposure to formaldehyde,Acute lymphoid leukaemia,High exposure,Both,Females,,,,,,,,1.485,1.485,1.479,1.471,1.469,1.486,1.485,1.481,1.48,1.47,1.473,1.471,1.49,1.464,1.464,1.464,1.464
Occupational exposure to formaldehyde,Acute lymphoid leukaemia,Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Acute lymphoid leukaemia,Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Acute lymphoid leukaemia,No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Acute lymphoid leukaemia,No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Chronic lymphoid leukaemia,High exposure,Both,Males,,,,,,,,1.483,1.479,1.474,1.48,1.479,1.467,1.481,1.49,1.47,1.487,1.485,1.48,1.482,1.488,1.488,1.488,1.488
Occupational exposure to formaldehyde,Chronic lymphoid leukaemia,High exposure,Both,Females,,,,,,,,1.485,1.485,1.479,1.471,1.469,1.486,1.485,1.481,1.48,1.47,1.473,1.471,1.49,1.464,1.464,1.464,1.464
Occupational exposure to formaldehyde,Chronic lymphoid leukaemia,Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Chronic lymphoid leukaemia,Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Chronic lymphoid leukaemia,No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Chronic lymphoid leukaemia,No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Acute myeloid leukaemia,High exposure,Both,Males,,,,,,,,1.483,1.479,1.474,1.48,1.479,1.467,1.481,1.49,1.47,1.487,1.485,1.48,1.482,1.488,1.488,1.488,1.488
Occupational exposure to formaldehyde,Acute myeloid leukaemia,High exposure,Both,Females,,,,,,,,1.485,1.485,1.479,1.471,1.469,1.486,1.485,1.481,1.48,1.47,1.473,1.471,1.49,1.464,1.464,1.464,1.464
Occupational exposure to formaldehyde,Acute myeloid leukaemia,Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Acute myeloid leukaemia,Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Acute myeloid leukaemia,No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Acute myeloid leukaemia,No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Chronic myeloid leukaemia,High exposure,Both,Males,,,,,,,,1.483,1.479,1.474,1.48,1.479,1.467,1.481,1.49,1.47,1.487,1.485,1.48,1.482,1.488,1.488,1.488,1.488
Occupational exposure to formaldehyde,Chronic myeloid leukaemia,High exposure,Both,Females,,,,,,,,1.485,1.485,1.479,1.471,1.469,1.486,1.485,1.481,1.48,1.47,1.473,1.471,1.49,1.464,1.464,1.464,1.464
Occupational exposure to formaldehyde,Chronic myeloid leukaemia,Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Chronic myeloid leukaemia,Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Chronic myeloid leukaemia,No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Chronic myeloid leukaemia,No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Other leukaemia,High exposure,Both,Males,,,,,,,,1.483,1.479,1.474,1.48,1.479,1.467,1.481,1.49,1.47,1.487,1.485,1.48,1.482,1.488,1.488,1.488,1.488
Occupational exposure to formaldehyde,Other leukaemia,High exposure,Both,Females,,,,,,,,1.485,1.485,1.479,1.471,1.469,1.486,1.485,1.481,1.48,1.47,1.473,1.471,1.49,1.464,1.464,1.464,1.464
Occupational exposure to formaldehyde,Other leukaemia,Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Other leukaemia,Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
